Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SOUTHBANK,"1,155,000",613.55,"1,882",May-25,NORTH BRIDGE ROAD,Resale,Strata,57,"20,263",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,16 to 20
AUREA,"6,010,945","1,797.59","3,344",May-25,BEACH ROAD,New Sale,Strata,167,"35,994",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,26 to 30
DUO RESIDENCES,"1,515,000",721.19,"2,101",May-25,FRASER STREET,Resale,Strata,67,"22,612",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,11 to 15
SUNSHINE PLAZA,"2,000,000","1,345.5","1,486",May-25,PRINSEP LINK,Resale,Strata,125,"16,000",-,Apartment,1,99 yrs lease commencing from 1997,07,Rest of Central Region,06 to 10
CONCOURSE SKYLINE,"2,200,000","1,162.51","1,892",May-25,BEACH ROAD,Resale,Strata,108,"20,370",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,31 to 35
CITY GATE,"1,610,000",775.01,"2,077",Apr-25,BEACH ROAD,Resale,Strata,72,"22,361",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,26 to 30
THE M,"1,130,000",452.09,"2,500",Apr-25,MIDDLE ROAD,Resale,Strata,42,"26,905",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,01 to 05
MIDTOWN BAY,"2,440,000",742.72,"3,266",Apr-25,BEACH ROAD,New Sale,Strata,69,"35,154","2,425,600",Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,21 to 25
DUO RESIDENCES,"3,310,888","1,614.6","2,051",Apr-25,FRASER STREET,Resale,Strata,150,"22,073",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,21 to 25
THE BENCOOLEN,"1,423,000",882.65,"1,612",Apr-25,BENCOOLEN STREET,Resale,Strata,82,"17,354",-,Apartment,1,99 yrs lease commencing from 1995,07,Rest of Central Region,06 to 10
SUNSHINE PLAZA,"1,646,000","1,044.11","1,576",Apr-25,PRINSEP LINK,Resale,Strata,97,"16,969",-,Apartment,1,99 yrs lease commencing from 1997,07,Rest of Central Region,06 to 10
CONCOURSE SKYLINE,"2,020,000","1,140.98","1,770",Apr-25,BEACH ROAD,Resale,Strata,106,"19,057",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,16 to 20
DUO RESIDENCES,"1,622,000",721.19,"2,249",Apr-25,FRASER STREET,Resale,Strata,67,"24,209",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,16 to 20
THE M,"1,250,000",527.44,"2,370",Apr-25,MIDDLE ROAD,Resale,Strata,49,"25,510",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,01 to 05
DUO RESIDENCES,"3,388,888","1,614.6","2,099",Mar-25,FRASER STREET,Resale,Strata,150,"22,593",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,21 to 25
MIDTOWN BAY,"1,610,000",452.09,"3,529",Mar-25,BEACH ROAD,New Sale,Strata,42,"37,990","1,595,600",Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,16 to 20
CITY GATE,"1,506,000",688.9,"2,186",Mar-25,BEACH ROAD,Resale,Strata,64,"23,531",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,16 to 20
DUO RESIDENCES,"1,150,000",527.44,"2,180",Mar-25,FRASER STREET,Resale,Strata,49,"23,469",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,21 to 25
THE BENCOOLEN,"1,470,000",925.7,"1,588",Mar-25,BENCOOLEN STREET,Resale,Strata,86,"17,093",-,Apartment,1,99 yrs lease commencing from 1995,07,Rest of Central Region,01 to 05
DUO RESIDENCES,"1,398,000",613.55,"2,279",Mar-25,FRASER STREET,Resale,Strata,57,"24,526",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,16 to 20
AUREA,"2,911,440","1,001.05","2,908",Mar-25,BEACH ROAD,New Sale,Strata,93,"31,306",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
MIDTOWN MODERN,"2,640,000",904.18,"2,920",Mar-25,TAN QUEE LAN STREET,Sub Sale,Strata,84,"31,429",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
MIDTOWN MODERN,"1,400,000",409.03,"3,423",Mar-25,TAN QUEE LAN STREET,Sub Sale,Strata,38,"36,842",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,16 to 20
AUREA,"4,267,850","1,442.38","2,959",Mar-25,BEACH ROAD,New Sale,Strata,134,"31,850",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
AUREA,"2,999,039","1,001.05","2,996",Mar-25,BEACH ROAD,New Sale,Strata,93,"32,248",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,16 to 20
MIDTOWN MODERN,"2,638,000",904.18,"2,918",Mar-25,TAN QUEE LAN STREET,Sub Sale,Strata,84,"31,405",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
AUREA,"5,869,248","1,797.59","3,265",Mar-25,BEACH ROAD,New Sale,Strata,167,"35,145",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,21 to 25
AUREA,"1,943,780",710.42,"2,736",Mar-25,BEACH ROAD,New Sale,Strata,66,"29,451",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,06 to 10
AUREA,"1,911,735",645.84,"2,960",Mar-25,BEACH ROAD,New Sale,Strata,60,"31,862",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,06 to 10
AUREA,"1,949,475",710.42,"2,744",Mar-25,BEACH ROAD,New Sale,Strata,66,"29,538",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,06 to 10
AUREA,"2,861,015","1,001.05","2,858",Mar-25,BEACH ROAD,New Sale,Strata,93,"30,764",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,06 to 10
AUREA,"1,958,655",710.42,"2,757",Mar-25,BEACH ROAD,New Sale,Strata,66,"29,677",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,06 to 10
